,Ligand,Concentration,Animal,Cell,Predicted
284,hIL13,-7.317138624247492,Human,Fibroblast,0.7706475868404298
285,hIL13,-7.295996049297659,Human,Fibroblast,0.7717202443265003
286,hIL13,-7.274853474347826,Human,Fibroblast,0.7727530341877201
287,hIL13,-7.253710899397994,Human,Fibroblast,0.7737471059050459
288,hIL13,-7.232568324448161,Human,Fibroblast,0.7747035962153542
289,hIL13,-7.2114257494983285,Human,Fibroblast,0.7756236281119324
290,hIL13,-7.190283174548496,Human,Fibroblast,0.7765083098900893
291,hIL13,-7.169140599598663,Human,Fibroblast,0.7773587342414144
292,hIL13,-7.14799802464883,Human,Fibroblast,0.7781759773998324
293,hIL13,-7.126855449698997,Human,Fibroblast,0.7789610983422186
294,hIL13,-7.105712874749164,Human,Fibroblast,0.7797151380459062
295,hIL13,-7.084570299799331,Human,Fibroblast,0.7804391188049803
296,hIL13,-7.0634277248494985,Human,Fibroblast,0.7811340436068175
297,hIL13,-7.042285149899666,Human,Fibroblast,0.7818008955698644
298,hIL13,-7.021142574949833,Human,Fibroblast,0.7824406374432321
299,hIL13,-7.0,Human,Fibroblast,0.7830542111682289
0,hIL4,-13.91568628,Human,Monocyte,0.0007078095642145946
1,hIL4,-13.891225991408026,Human,Monocyte,0.0007487879973805653
2,hIL4,-13.866765702816053,Human,Monocyte,0.0007921369813401979
3,hIL4,-13.842305414224079,Human,Monocyte,0.0008379934250464942
4,hIL4,-13.817845125632106,Human,Monocyte,0.0008865021177685594
5,hIL4,-13.793384837040133,Human,Monocyte,0.0009378161794873438
6,hIL4,-13.76892454844816,Human,Monocyte,0.0009920975366569712
7,hIL4,-13.744464259856187,Human,Monocyte,0.0010495174247046153
8,hIL4,-13.720003971264214,Human,Monocyte,0.0011102569187338776
9,hIL4,-13.69554368267224,Human,Monocyte,0.0011745074939480157
10,hIL4,-13.671083394080267,Human,Monocyte,0.0012424716173972817
11,hIL4,-13.646623105488294,Human,Monocyte,0.0013143633727292394
12,hIL4,-13.62216281689632,Human,Monocyte,0.0013904091197026714
13,hIL4,-13.597702528304348,Human,Monocyte,0.0014708481903100792
14,hIL4,-13.573242239712373,Human,Monocyte,0.0015559336234407025
15,hIL4,-13.5487819511204,Human,Monocyte,0.0016459329401057226
16,hIL4,-13.524321662528427,Human,Monocyte,0.0017411289613398185
17,hIL4,-13.499861373936454,Human,Monocyte,0.00184182067098788
18,hIL4,-13.475401085344481,Human,Monocyte,0.001948324125683029
19,hIL4,-13.450940796752507,Human,Monocyte,0.002060973414421203
20,hIL4,-13.426480508160534,Human,Monocyte,0.0021801216702385
21,hIL4,-13.402020219568561,Human,Monocyte,0.0023061421366000656
22,hIL4,-13.377559930976588,Human,Monocyte,0.0024394292912124443
23,hIL4,-13.353099642384615,Human,Monocyte,0.0025804000300755007
24,hIL4,-13.328639353792642,Human,Monocyte,0.002729494914693747
25,hIL4,-13.304179065200668,Human,Monocyte,0.002887179485470048
26,hIL4,-13.279718776608695,Human,Monocyte,0.003053945644406172
27,hIL4,-13.255258488016722,Human,Monocyte,0.003230313110333941
28,hIL4,-13.230798199424749,Human,Monocyte,0.003416830949995885
29,hIL4,-13.206337910832776,Human,Monocyte,0.00361407918838545
30,hIL4,-13.181877622240801,Human,Monocyte,0.0038226705018412086
31,hIL4,-13.157417333648828,Human,Monocyte,0.004043251997466282
32,hIL4,-13.132957045056855,Human,Monocyte,0.004276507082511761
