,Cell,Animal,Predicted,Ligand,Concentration
277,Monocyte,Human,0.9717866739626522,hIL13,-7.697947619264214
278,Monocyte,Human,0.9732595415789521,hIL13,-7.675500909297659
279,Monocyte,Human,0.9746682669531178,hIL13,-7.653054199331104
280,Monocyte,Human,0.9760159153956474,hIL13,-7.630607489364548
281,Monocyte,Human,0.9773054525144637,hIL13,-7.608160779397993
282,Monocyte,Human,0.9785397465785595,hIL13,-7.585714069431438
283,Monocyte,Human,0.9797215710777778,hIL13,-7.5632673594648825
284,Monocyte,Human,0.9808536074520448,hIL13,-7.540820649498327
285,Monocyte,Human,0.9819384479657218,hIL13,-7.518373939531773
286,Monocyte,Human,0.9829785987050098,hIL13,-7.4959272295652175
287,Monocyte,Human,0.9839764826784981,hIL13,-7.473480519598662
288,Monocyte,Human,0.9849344430030035,hIL13,-7.451033809632107
289,Monocyte,Human,0.9858547461587814,hIL13,-7.428587099665552
290,Monocyte,Human,0.9867395853000296,hIL13,-7.406140389698996
291,Monocyte,Human,0.9875910836083175,hIL13,-7.383693679732441
292,Monocyte,Human,0.9884112976781869,hIL13,-7.361246969765886
293,Monocyte,Human,0.9892022209256739,hIL13,-7.3388002597993305
294,Monocyte,Human,0.9899657870119012,hIL13,-7.316353549832776
295,Monocyte,Human,0.99070387327519,hIL13,-7.293906839866221
296,Monocyte,Human,0.9914183041663478,hIL13,-7.2714601298996655
297,Monocyte,Human,0.9921108546829007,hIL13,-7.24901341993311
298,Monocyte,Human,0.9927832537990752,hIL13,-7.226566709966555
299,Monocyte,Human,0.9934371878892777,hIL13,-7.20412
0,A20,Mouse,0.0003696131554463414,mIL4,-13.7513
1,A20,Mouse,0.00038682831237405797,mIL4,-13.731515217391305
2,A20,Mouse,0.0004048446795490049,mIL4,-13.71173043478261
3,A20,Mouse,0.0004236994883952683,mIL4,-13.691945652173914
4,A20,Mouse,0.00044343169494880905,mIL4,-13.672160869565218
5,A20,Mouse,0.0004640820592205803,mIL4,-13.652376086956522
6,A20,Mouse,0.00048569322816188835,mIL4,-13.632591304347827
7,A20,Mouse,0.0005083098223907357,mIL4,-13.612806521739131
8,A20,Mouse,0.0005319785268444174,mIL4,-13.593021739130435
9,A20,Mouse,0.000556748185530398,mIL4,-13.57323695652174
10,A20,Mouse,0.0005826699005544889,mIL4,-13.553452173913044
11,A20,Mouse,0.0006097971356125517,mIL4,-13.533667391304348
12,A20,Mouse,0.0006381858241394111,mIL4,-13.513882608695653
13,A20,Mouse,0.0006678944823163261,mIL4,-13.494097826086957
14,A20,Mouse,0.0006989843271462905,mIL4,-13.474313043478261
15,A20,Mouse,0.0007315193998145645,mIL4,-13.454528260869566
16,A20,Mouse,0.0007655666945602239,mIL4,-13.43474347826087
17,A20,Mouse,0.000801196293293098,mIL4,-13.414958695652174
